Date,#tx,Vol,mean_tx,mean_tdiff,var_tdiff,Transaction,Open_price,High_price,Low_Price,Close_Price,Ex_volume,Wt_Price
11/4/2012,55149,2.28148E+14,4136942597,3336401.492,180203294.7,18.07275203,10.6425,10.9,10.51002,10.80011,16750.33597,10.67212374
11/5/2012,79018,2.25135E+14,2849160115,3340416.651,3464442906,25.83596115,10.80011,10.88,10.61,10.748,21776.73646,10.72935596
11/6/2012,67001,1.88698E+14,2816347538,3310046.981,380071658.4,22.98457161,10.748,10.9,10.6667,10.89899,26995.30182,10.7987656
11/7/2012,74039,1.84775E+14,2495645253,3332535.002,56621455.51,29.35341825,10.89898,11.21603,10.8,10.92,31733.85486,10.98116503
11/8/2012,69768,1.33324E+14,1910966097,3339840.902,30714619.84,27.51470818,10.92011,11.07,10.75,10.925,26058.85283,10.91974816
11/9/2012,53420,8.47558E+13,1586592422,3335038.436,59139409605,20.56769981,10.925,10.98497,10.79,10.815,14727.11599,10.86328466
11/10/2012,61342,4.31524E+13,703472313.5,3300961.855,109464559.7,21.42115168,10.815,10.95899,10.75,10.88999,13490.44875,10.84836134
11/11/2012,47630,4.17219E+13,875958667,3260380.292,147488976.5,17.92127199,10.88999,10.939,10.7,10.8687,12625.47509,10.8073631
11/12/2012,53051,4.82396E+13,909305205.7,3235457.486,63646880.53,18.20735207,10.84001,11.18,10.76666,11.00801,39217.16568,10.99213741
11/13/2012,58795,8.11026E+13,1379413345,3217891.977,71144975.56,18.42871936,11.00801,11.129,10.9215,10.9512,16757.50859,11.00216018
11/14/2012,61727,1.43469E+14,2324251136,3197819.569,76440617.77,22.71522209,11,11.05,10.82011,10.95,24543.09088,10.94551776
11/15/2012,77338,2.55602E+14,3304994211,3186957.749,267459339.5,29.56062276,10.98748,11.3,10.86,11.19771,31901.17371,11.07658795
11/16/2012,84981,3.6962E+14,4349442705,3184265.585,168967185.5,32.35921036,11.20192,11.8,11.17214,11.74889,58253.16385,11.4916022
11/17/2012,71431,2.63568E+14,3689821944,3217017.25,751223946.1,27.92768269,11.74879,11.8,11.52,11.78889,19105.45358,11.67412614
11/18/2012,75232,2.06994E+14,2751411813,3255207.845,209956507.2,25.4443562,11.78879,11.832,11.616,11.65152,15514.15407,11.7129802
11/19/2012,77914,1.38332E+14,1775439991,3246895.695,86609280.94,27.02349917,11.66468,11.84,11.6,11.7999,25197.91664,11.71766498
11/20/2012,78343,1.56447E+14,1996946442,3241184.287,171241319.1,28.15159803,11.69276,11.799,11.57297,11.73281,27220.18068,11.69320862
